order_id,product_id,product_name,status,order_date,state
18405,26497,Tommy Hilfiger Men's Poplin Plaid Sleep Pant,Complete,2023-12-06 13:35:00.000000 UTC,Amazonas
18405,26497,Tommy Hilfiger Men's Poplin Plaid Sleep Pant,Shipped,2021-01-30 13:35:00.000000 UTC,Amazonas
6651,9565,Shadowline Petals 54 Coat (71280),Cancelled,2020-11-21 08:29:00.000000 UTC,Nordrhein-Westfalen
6651,9565,Shadowline Petals 54 Coat (71280),Complete,2020-06-29 08:29:00.000000 UTC,Nordrhein-Westfalen
10098,14533,Satin Piping Maternity/Nursing Pajama Set,Processing,2022-04-02 14:45:00.000000 UTC,Minnesota
10098,14533,Satin Piping Maternity/Nursing Pajama Set,Shipped,2020-11-14 14:45:00.000000 UTC,Minnesota
14798,21325,Company 81 Men's Slim Straight Fit Denim Jean,Complete,2024-02-10 11:58:00.000000 UTC,Guangdong
14798,21325,Company 81 Men's Slim Straight Fit Denim Jean,Processing,2024-04-02 11:58:00.000000 UTC,Guangdong
19741,28465,Dockers Men's 32mm Feather Edge Reversible Belt,Processing,2024-02-01 12:18:00.000000 UTC,Seoul
775,1110,Design History Women's 100% Cashmere Cowl Mitered Sweater,Returned,2024-04-23 14:19:00.000000 UTC,England
775,1110,Design History Women's 100% Cashmere Cowl Mitered Sweater,Shipped,2023-12-22 14:19:00.000000 UTC,England
106,143,LAT 3588 Womens Ringspun Long-Sleeve T-Shirt,Processing,2020-08-20 06:39:00.000000 UTC,Tianjin
106,143,LAT 3588 Womens Ringspun Long-Sleeve T-Shirt,Shipped,2019-12-28 06:39:00.000000 UTC,Tianjin
16503,23766,U.S. Polo Assn. Men's Signature Bubble Jacket With Small Pony,Complete,2021-11-26 17:38:00.000000 UTC,Guangdong
1631,2310,Allegra K Ladies Light Gray Pullover Solid Color Long Sleeve Textured Warm Hoodie XS,Cancelled,2024-04-22 09:47:00.000000 UTC,Inner Mongolia Autonomous Region
1631,2310,Allegra K Ladies Light Gray Pullover Solid Color Long Sleeve Textured Warm Hoodie XS,Processing,2024-04-18 09:47:00.000000 UTC,Inner Mongolia Autonomous Region
1631,2310,Allegra K Ladies Light Gray Pullover Solid Color Long Sleeve Textured Warm Hoodie XS,Shipped,2024-04-21 09:47:00.000000 UTC,Inner Mongolia Autonomous Region
1631,2310,Allegra K Ladies Light Gray Pullover Solid Color Long Sleeve Textured Warm Hoodie XS,Shipped,2024-04-23 09:47:00.000000 UTC,Inner Mongolia Autonomous Region
